iteration,current_Check,current_Raise50,average_Check,average_Raise50
289,0.359304,0.640696,0.769872,0.230128
290,0.356928,0.643072,0.767385,0.232615
291,0.356928,0.643072,0.767385,0.232615
292,0.393874,0.606126,0.764977,0.235023
293,0.393874,0.606126,0.764977,0.235023
294,0.455371,0.544629,0.762882,0.237118
295,0.455371,0.544629,0.762882,0.237118
296,0.532705,0.467295,0.761248,0.238752
297,0.532705,0.467295,0.761248,0.238752
298,0.623394,0.376606,0.760184,0.239816
299,0.623394,0.376606,0.760184,0.239816
300,0.730963,0.269037,0.759804,0.240196
301,0.730963,0.269037,0.759804,0.240196
302,0.861630,0.138370,0.760281,0.239719
303,0.861630,0.138370,0.760281,0.239719
304,1.000000,0.000000,0.761648,0.238352
305,1.000000,0.000000,0.761648,0.238352
306,1.000000,0.000000,0.763196,0.236804
307,1.000000,0.000000,0.763196,0.236804
308,1.000000,0.000000,0.764723,0.235277
309,1.000000,0.000000,0.764723,0.235277
310,1.000000,0.000000,0.766232,0.233768
311,1.000000,0.000000,0.766232,0.233768
312,1.000000,0.000000,0.767721,0.232279
313,1.000000,0.000000,0.767721,0.232279
314,1.000000,0.000000,0.769191,0.230809
315,1.000000,0.000000,0.769191,0.230809
316,0.817368,0.182632,0.770513,0.229487
317,0.817368,0.182632,0.770513,0.229487
318,0.667603,0.332397,0.771020,0.228980
319,0.667603,0.332397,0.771020,0.228980
320,0.552433,0.447567,0.770507,0.229493
321,0.552433,0.447567,0.770507,0.229493
322,0.451224,0.548776,0.769271,0.230729
323,0.451224,0.548776,0.769271,0.230729
324,0.376471,0.623529,0.767470,0.232530
325,0.376471,0.623529,0.767470,0.232530
326,0.328629,0.671371,0.765290,0.234710
327,0.328629,0.671371,0.765290,0.234710
328,0.309674,0.690326,0.762903,0.237097
329,0.309674,0.690326,0.762903,0.237097
330,0.318151,0.681849,0.760477,0.239523
331,0.318151,0.681849,0.760477,0.239523
332,0.350065,0.649935,0.758158,0.241842
333,0.350065,0.649935,0.758158,0.241842
334,0.400240,0.599760,0.756069,0.243931
335,0.400240,0.599760,0.756069,0.243931
336,0.464781,0.535219,0.754309,0.245691
337,0.464781,0.535219,0.754309,0.245691
338,0.542761,0.457239,0.752960,0.247040
339,0.542761,0.457239,0.752960,0.247040
340,0.633351,0.366649,0.752110,0.247890
341,0.633351,0.366649,0.752110,0.247890
342,0.740458,0.259542,0.751857,0.248143
343,0.740458,0.259542,0.751857,0.248143
344,0.871604,0.128396,0.752346,0.247654
345,0.871604,0.128396,0.752346,0.247654
346,1.000000,0.000000,0.753606,0.246394
347,1.000000,0.000000,0.753606,0.246394
348,1.000000,0.000000,0.755014,0.244986
349,1.000000,0.000000,0.755014,0.244986
350,1.000000,0.000000,0.756406,0.243594
351,1.000000,0.000000,0.756406,0.243594
352,1.000000,0.000000,0.757782,0.242218
353,1.000000,0.000000,0.757782,0.242218
354,1.000000,0.000000,0.759143,0.240857
355,1.000000,0.000000,0.759143,0.240857
