iteration,current_Check,current_Raise50,average_Check,average_Raise50
371,1.000000,0.000000,0.953174,0.046826
372,1.000000,0.000000,0.953424,0.046576
373,1.000000,0.000000,0.953424,0.046576
374,1.000000,0.000000,0.953672,0.046328
375,1.000000,0.000000,0.953672,0.046328
376,1.000000,0.000000,0.953917,0.046083
377,1.000000,0.000000,0.953917,0.046083
378,1.000000,0.000000,0.954159,0.045841
379,1.000000,0.000000,0.954159,0.045841
380,1.000000,0.000000,0.954399,0.045601
381,1.000000,0.000000,0.954399,0.045601
382,1.000000,0.000000,0.954637,0.045363
383,1.000000,0.000000,0.954637,0.045363
384,1.000000,0.000000,0.954872,0.045128
385,1.000000,0.000000,0.954872,0.045128
386,1.000000,0.000000,0.955105,0.044895
387,1.000000,0.000000,0.955105,0.044895
388,1.000000,0.000000,0.955335,0.044665
389,1.000000,0.000000,0.955335,0.044665
390,1.000000,0.000000,0.955563,0.044437
391,1.000000,0.000000,0.955563,0.044437
392,1.000000,0.000000,0.955788,0.044212
393,1.000000,0.000000,0.955788,0.044212
394,1.000000,0.000000,0.956012,0.043988
395,1.000000,0.000000,0.956012,0.043988
396,1.000000,0.000000,0.956233,0.043767
397,1.000000,0.000000,0.956233,0.043767
398,1.000000,0.000000,0.956451,0.043549
399,1.000000,0.000000,0.956451,0.043549
400,1.000000,0.000000,0.956668,0.043332
401,1.000000,0.000000,0.956668,0.043332
402,1.000000,0.000000,0.956883,0.043117
403,1.000000,0.000000,0.956883,0.043117
404,1.000000,0.000000,0.957095,0.042905
405,1.000000,0.000000,0.957095,0.042905
406,1.000000,0.000000,0.957305,0.042695
407,1.000000,0.000000,0.957305,0.042695
408,1.000000,0.000000,0.957514,0.042486
409,1.000000,0.000000,0.957514,0.042486
410,1.000000,0.000000,0.957720,0.042280
411,1.000000,0.000000,0.957720,0.042280
412,1.000000,0.000000,0.957924,0.042076
413,1.000000,0.000000,0.957924,0.042076
414,1.000000,0.000000,0.958126,0.041874
415,1.000000,0.000000,0.958126,0.041874
416,1.000000,0.000000,0.958327,0.041673
417,1.000000,0.000000,0.958327,0.041673
418,1.000000,0.000000,0.958525,0.041475
419,1.000000,0.000000,0.958525,0.041475
420,1.000000,0.000000,0.958722,0.041278
421,1.000000,0.000000,0.958722,0.041278
422,1.000000,0.000000,0.958916,0.041084
423,1.000000,0.000000,0.958916,0.041084
424,1.000000,0.000000,0.959109,0.040891
